team,seconds_left,advantage,disadvantage
SAC,0,3,1
SAC,5,1,2
SAC,10,4,2
SAC,15,0,2
SAC,20,3,3
SAC,25,2,1
SAC,30,1,2
SAC,35,0,3
SAC,40,4,0
SAC,45,1,1
SAC,50,1,2
SAC,55,3,1
SAC,60,3,0
SAC,65,3,1
SAC,70,0,1
SAC,75,2,4
SAC,80,0,4
SAC,85,2,3
SAC,90,1,1
SAC,95,3,4
SAC,100,0,1
SAC,105,2,4
SAC,110,3,3
SAC,115,0,1
SAC,120,0,0
