team,seconds_left,advantage,disadvantage
WAS,0,1,2
WAS,5,2,1
WAS,10,2,6
WAS,15,3,3
WAS,20,1,1
WAS,25,5,3
WAS,30,1,3
WAS,35,4,3
WAS,40,2,0
WAS,45,2,4
WAS,50,2,1
WAS,55,4,2
WAS,60,2,5
WAS,65,1,2
WAS,70,3,1
WAS,75,2,1
WAS,80,3,2
WAS,85,1,2
WAS,90,1,5
WAS,95,0,3
WAS,100,2,3
WAS,105,1,1
WAS,110,2,1
WAS,115,1,2
WAS,120,0,1
