team,seconds_left,advantage,disadvantage
DAL,0,7,1
DAL,5,3,3
DAL,10,4,2
DAL,15,4,3
DAL,20,2,4
DAL,25,3,3
DAL,30,4,3
DAL,35,2,2
DAL,40,0,3
DAL,45,1,1
DAL,50,3,2
DAL,55,0,2
DAL,60,3,2
DAL,65,2,0
DAL,70,3,7
DAL,75,1,1
DAL,80,2,2
DAL,85,1,4
DAL,90,1,3
DAL,95,2,2
DAL,100,4,4
DAL,105,5,2
DAL,110,2,0
DAL,115,3,2
DAL,120,0,0
