team,seconds_left,advantage,disadvantage
POR,0,3,0
POR,5,2,3
POR,10,1,5
POR,15,5,5
POR,20,1,0
POR,25,4,1
POR,30,2,0
POR,35,1,3
POR,40,1,0
POR,45,2,1
POR,50,3,1
POR,55,1,2
POR,60,5,3
POR,65,1,1
POR,70,3,3
POR,75,3,2
POR,80,1,0
POR,85,1,1
POR,90,2,1
POR,95,2,1
POR,100,0,0
POR,105,4,5
POR,110,2,0
POR,115,2,2
POR,120,0,0
