team,seconds_left,advantage,disadvantage
NOP,0,4,2
NOP,5,3,2
NOP,10,2,2
NOP,15,1,0
NOP,20,2,2
NOP,25,3,2
NOP,30,5,3
NOP,35,1,1
NOP,40,7,1
NOP,45,0,4
NOP,50,1,3
NOP,55,1,1
NOP,60,3,2
NOP,65,1,6
NOP,70,3,2
NOP,75,2,1
NOP,80,2,2
NOP,85,2,1
NOP,90,0,2
NOP,95,3,0
NOP,100,2,0
NOP,105,1,0
NOP,110,1,2
NOP,115,1,0
NOP,120,1,0
