team,seconds_left,advantage,disadvantage
LAC,0,1,7
LAC,5,3,2
LAC,10,6,1
LAC,15,3,4
LAC,20,1,4
LAC,25,0,2
LAC,30,3,2
LAC,35,4,0
LAC,40,0,2
LAC,45,1,3
LAC,50,1,2
LAC,55,1,1
LAC,60,4,2
LAC,65,0,0
LAC,70,1,1
LAC,75,1,0
LAC,80,1,2
LAC,85,0,2
LAC,90,4,1
LAC,95,1,0
LAC,100,0,1
LAC,105,1,1
LAC,110,1,4
LAC,115,0,0
LAC,120,0,0
