team,seconds_left,advantage,disadvantage
CHA,0,3,3
CHA,5,1,1
CHA,10,2,3
CHA,15,6,4
CHA,20,1,0
CHA,25,1,4
CHA,30,1,2
CHA,35,2,0
CHA,40,0,2
CHA,45,4,1
CHA,50,0,1
CHA,55,1,2
CHA,60,0,2
CHA,65,1,1
CHA,70,1,1
CHA,75,0,2
CHA,80,0,1
CHA,85,5,1
CHA,90,1,3
CHA,95,2,0
CHA,100,1,1
CHA,105,3,5
CHA,110,1,1
CHA,115,1,0
CHA,120,1,0
